Market,	Sum(quote amounts),	Sum(base amounts),	quote/bts ticker,	base/bts ticker,	colume in bts,	tarde count
ALGO.USDT/ALGO.ETH,	31345939,	229859,	0,	0,	0,	143
ALGO.ACT/ALGO.USDT,	94236173441,	378803014723,	0,	0,	0,	199
BRIDGE.BTC/BRIDGE.PCR,	78539806,	104835014633,	81916.0715058650391724,	0,	64336.723643528,	15
HOTDEX.BTC/HOTDEX.HTS,	16879830,	229581666154,	69066.0261814248675817,	0,	11658.22780718,	37
BRIDGE.BTC/BRIDGE.XDOGE,	670244,	13180926,	81916.0715058650391724,	0.04,	549.03755430377,	17
BRIDGE.BTC/BRIDGE.ZNY,	240046966,	1007134646310,	81916.0715058650391724,	0.19899999975889412,	196637.04431622,	214
BRIDGE.BTC/BRIDGE.EVOS,	13001847,	162824613375,	81916.0715058650391724,	1,	10650.602285603,	38
BRIDGE.BTC/BTS,	4304480,	354912954,	81916.0715058650391724,	0,	3526.0609147557,	41
BRIDGE.DACHX/BRIDGE.BTC,	10411240492,	118374,	0,	81916.0715058650391724,	96.967330484353,	2
CNY/KKJTE,	8144248,	23411034,	3.23121613411871898022,	0,	2631.5825537864,	5
HOTDEX.HTS/HOTDEX.BTC,	451310052662,	33191592,	0,	69066.0261814248675817,	22924.113620752,	76
BRIDGE.FLX/BRIDGE.BTC,	724376870,	516133,	0,	81916.0715058650391724,	422.79587734537,	4
BRIDGE.BTC/BRIDGE.PARQ,	52825649,	77775711795,	81916.0715058650391724,	0,	43272.696408277,	13
BRIDGE.CRCO/BRIDGE.BTC,	137453489,	23642,	1.6,	81916.0715058650391724,	21.99255824,	1
BRIDGE.STM/BRIDGE.BTC,	2920000000,	11613,	0,	81916.0715058650391724,	9.5129133839761,	2
GDEX.EOS/BTS,	40741457,	324831771,	79.730030765023519673,	0,	3248.3176200219,	2
BRIDGE.MTAP/BRIDGE.BTC,	2014063401,	1430320,	0,	81916.0715058650391724,	1171.6619539627,	3
BTS/XBTSX.MNX,	320000,	50000000,	0,	6.4,	3.2,	2
BRIDGE.GIC/BRIDGE.BTC,	587340648,	388596,	0,	81916.0715058650391724,	318.32257722893,	2
BRIDGE.BEET/BRIDGE.BTC,	4756301334424,	26149055,	0.444550149299133,	81916.0715058650391724,	21144.144683299,	13
BRIDGE.FLN/BRIDGE.BTC,	4268557595,	8162139,	0,	81916.0715058650391724,	6686.1036196481,	14
