Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/bts ticker,	Volume in BTS,	Trade count
USD/BTS,	32929,	6418907,	19.55416853806191473091,	0,	64.389921578984,	3
ESCODEX.SDD/ESCODEX.BTC,	1674950000,	33499,	0,	79528.6601027397260273,	26.641305847817,	1
BTS/BRIDGE.SMART,	3377394,	12999996,	0,	0.2598,	33.773989608,	3
BTS/BTCCASH,	52912129,	485496585,	0,	1.089799894056137234,	529.09412689762,	22
BRIDGE.BTC/BRIDGE.NELLA,	8228790,	46417212434,	82338.1485931431445416,	0,	6775.4333376177,	35
ALGO.USDT/ALGO.BCH,	475349541,	363567274,	0,	0,	0,	1748
HOTDEX.BTC/HOTDEX.MCPC,	40909,	1009001169,	69066.0261814248675817,	0,	28.254220650559,	4
ESCODEX.HCASH/ESCODEX.BTC,	1714346,	21155,	0,	79528.6601027397260273,	16.824288044735,	3
ALGO.BCH/ALGO.USDT,	394778102,	516176400,	0,	0,	0,	1876
ESCODEX.FOX/ESCODEX.BTC,	7185745767,	503,	0,	79528.6601027397260273,	0.40002916031678,	1
BRIDGE.BTC/BRIDGE.ARION,	1283385,	91113301979,	82338.1485931431445416,	0.00018880000000001,	1056.7154483221,	3
RUDEX.BTC/RUDEX.STEEM,	2592000,	216000,	82828.3565,	10.153336233617923758768,	2146.91100048,	6
ALGO.ETC/ALGO.USDT,	1328259,	579599430,	0,	0,	0,	16726
CNY/GDEX.BTO,	35163010,	65192318857,	3.19478324739266871889,	0.2,	11233.81952759,	9
HOTDEX.DMME/HOTDEX.BTC,	35766155,	28233,	0,	69066.0261814248675817,	19.499411171802,	4
RUDEX.EOS/OPEN.EOS,	2968337,	296833765,	83,	79.007034227060920519,	24637.1971,	98
BRIDGE.FLM/BTS,	2467664102,	259771,	0.01052700000003866,	0,	2.5977100001849,	1
CLOUDCOIN/BTS,	714922906,	214476872,	0.06499899895641005057,	0,	4646.9273221008,	1
BRIDGE.FTON/BRIDGE.BTC,	30374453351,	99299529,	0,	82338.1485931431445416,	81761.393740311,	114
BRIDGE.BTC/BRIDGE.XSH,	23832,	680911870,	82338.1485931431445416,	0.020966000000735906,	19.622827572718,	4
ZEPH/CNY,	88000001,	3779571,	0.10504464,	3.19426547940429192872,	924.39284250446,	2
BRIDGE.BTC/BRIDGE.TZC,	15569276,	193111564263,	82338.1485931431445416,	0,	12819.453607757,	13
EPICA.BTC/EPICA.AXS,	330,	10000303,	82236.8421052631578947,	0.083,	0.27138157894737,	1
OPEN.BTC/OPEN.SCR,	510031,	3000182350,	83855.3074817647642773,	1.17700000000717988,	427.68806330232,	7
OPEN.SCR/OPEN.STEEM,	2993961852,	43634,	1.17700000000717988,	9.000109997955428337763,	352.38930998255,	7
BRIDGE.MTAP/BRIDGE.BTC,	9524927578,	19036924,	0,	82338.1485931431445416,	15674.650770684,	37
BRIDGE.PHR/BRIDGE.NRG,	4732310,	53252,	2.34368000086997401,	16,	1.1091020304917,	2
OPEN.BTC/KRIPT,	10000000,	2,	83855.3074817647642773,	30,	8385.5307481765,	1
BTS/BPSCX,	21028989,	9602278,	0,	2.199999995731707317,	211.25011559015,	3
BRIDGE.ADD/BRIDGE.BTC,	139142785071,	7629417,	0,	82338.1485931431445416,	6281.9207062505,	23
BRIDGE.BTC/BRIDGE.PHR,	5982693,	15179823831,	82338.1485931431445416,	2.34368000086997401,	4926.0386522116,	17
LAMBO/USD,	48761908,	1024,	0.39,	19.55416853806191473091,	1.901714412,	3
XBTSX.ONION/BTS,	101367286,	405473,	4,	0,	4.05469144,	4
ILICOIN/RUDEX.STEEM,	3466667,	1040,	322.9508218492238348,	10.153336233617923758768,	11.195629567276,	2
RUDEX.BTC/ILICOIN,	63957,	12144390,	82828.3565,	322.9508218492238348,	52.974531966705,	4
BRIDGE.PRJ/BRIDGE.BTC,	493008046070,	3804706,	0,	82338.1485931431445416,	3132.7244798122,	21
LAMBO/CNY,	38461538,	5000,	0.39,	3.18674314367037778952,	1.499999982,	2
OPEN.ETH/BRIDGE.ETH,	98367,	97529,	2927.571868752912176278,	2890.900005525864995224,	287.97646201362,	5
ESCODEX.BTC/ESCODEX.DLP,	250,	540267,	79528.6601027397260273,	0,	0.19882165025685,	1
OPEN.LTC/BTS,	8088989,	9319859,	1200,	0,	97.067868,	6
BRIDGE.BTC/BRIDGE.CSTL,	1577060,	13175752796,	82338.1485931431445416,	0,	1298.522006203,	3
BRIDGE.BTC/BRIDGE.IFX,	17355757,	351179832709,	82338.1485931431445416,	1.92307692307692307,	14290.408988125,	53
EVRAZ/XBTSX.ONION,	57988,	101479324,	0.6775,	4,	3.928687,	3
BRIDGE.BTC/BRIDGE.TRAID,	22198207,	462582901438,	82338.1485931431445416,	0.03125,	18277.592664674,	12
BRIDGE.MONA/BRIDGE.XP,	39,	168831,	9.35,	0.00025,	0.00036465,	1
ESCODEX.USDT/ESCODEX.BTC,	7189885214,	1972796,	25,	79528.6601027397260273,	1797.4713035,	4
BRIDGE.BCH/BRIDGE.BTC,	7882800378,	267640148,	8325.3899082568807339,	82304.9190000607391081,	656273.86715805,	14
BRIDGE.BTC/BRIDGE.LTC,	56826786,	3861299207,	82304.9190000607391081,	995.4245096019513782,	46771.240187638,	132
EPICA.BTC/EPICA.XLI,	8995,	299979985,	82236.8421052631578947,	0,	7.3972039473684,	2
BRIDGE.VEGI/BRIDGE.BTC,	8882173914,	20429,	0.00468735352020249,	82304.9190000607391081,	4.1633889162839,	3
CNY/EVRAZ,	369640,	1715214,	3.18674314367037778952,	0.6775,	117.79477356263,	3
ESCODEX.BTC/ESCODEX.REOSC,	37169,	338636773,	79528.6601027397260273,	0,	29.560007673587,	9
BRIDGE.BTC/BRIDGE.MNPR,	17834899,	139412986834,	82304.9190000607391081,	0,	14678.999175693,	45
BTS/MVCOIN,	3034892687,	17225900,	0,	19.62695478765743435591,	33809.196047671,	8
RUDEX.WLS/BTS,	7043184,	857673206,	1.211009998007643404394,	0,	8529.3662418075,	26
LADACOIN/ILICOIN,	367497931,	4902,	0.099999,	322.9508218492238348,	3.6749425602069,	2
XOVBTC/XOVBANK,	141691,	23323175,	83065.9660891540023962,	0.0517,	117.69699801138,	12
XOVBANK/BTS,	23142872,	11969232,	0.0517,	0,	119.64864824,	20
BRIDGE.BTC/BRIDGE.MONA,	3455384,	273424420,	82304.9190000607391081,	9.35,	2843.9510023411,	61
BTS/XOVBTC,	11490106,	138325,	0,	83065.9660891540023962,	114.90099759282,	11
BRIDGE.KREDS/BRIDGE.BTC,	601200000,	30060,	0.00300000030000003,	82304.9190000607391081,	18.0360018036,	1
BRIDGE.PRX/BRIDGE.BTC,	5618720740,	488853,	0.000286000000000286,	82304.9190000607391081,	1.6069541316416,	3
BRIDGE.PHON/BRIDGE.BTC,	1900138393827,	23928070,	0,	82304.9190000607391081,	19693.978631778,	68
CNY/GDEX.NAS,	2000000,	300000000,	3.18674314367037778952,	0,	637.34862873408,	2
BRIDGE.BTC/BRIDGE.CATO,	35854955,	907491306148,	82304.9190000607391081,	0,	29510.391670258,	401
BRIDGE.BTC/BRIDGE.ARRR,	4823042,	7326768000,	82304.9190000607391081,	0.008084074373484236,	3969.6008114389,	2
BRIDGE.BTC/BRIDGE.HANA,	4383,	1461012570,	82304.9190000607391081,	0,	3.6074245997727,	1
BRIDGE.COTN/BRIDGE.BTC,	4711935484,	14607,	0,	82304.9190000607391081,	12.022279518339,	1
BRIDGE.MNDX/BRIDGE.BTC,	18155024296,	3631,	0.00000147492590562,	82304.9190000607391081,	0.0026777315651331,	1
BTC/OPEN.BTC,	574074,	494037,	71942.4662717009037206,	83855.3074817647642773,	413.0029938246,	6
BRIDGE.MNT/BTS,	150500,	301,	0.02,	0,	0.00301,	1
BRIDGE.BTC/BRIDGE.DOGEC,	1115400,	4741024346,	82304.9190000607391081,	0.02380970000017001,	918.02906652668,	5
BRIDGE.XDNA/BRIDGE.BTC,	1939522000,	989634,	0.11236000000179776,	82304.9190000607391081,	217.92469192349,	14
BTS/PISOPH,	29906903,	5505561,	0,	0.56848590898011451598,	312.98338495305,	13
BRIDGE.BTC/BRIDGE.RCO,	9150,	10150035626,	82304.9190000607391081,	0.00071490000000014,	7.5309000885056,	4
BRIDGE.XXX/BTS,	18182,	1,	0.00550000000055,	0,	1.0000100001e-05,	1
BRIDGE.FLX/BRIDGE.BTC,	11168119647,	23360476,	0,	82304.9190000607391081,	19226.820849829,	26
BRIDGE.BIR/BRIDGE.BTC,	43015293964,	26576874,	0.011251000000201336,	82304.9190000607391081,	483.96507239762,	82
BRIDGE.MNBC/BTS,	64970060,	651,	0.0100200000000197,	0,	0.0065100000120128,	1
EPICA.BTC/EPICA.ZOO,	589,	10006795,	82236.8421052631578947,	0,	0.484375,	1
BRIDGE.ABET/BRIDGE.BTC,	173233068695,	353606318,	0,	82304.9190000607391081,	291035.393609,	390
BRIDGE.BEET/BRIDGE.BTC,	2939790603598,	14645735,	0.444550149299133,	82304.9190000607391081,	13068.843517377,	16
BRIDGE.BTC/BRIDGE.BWK,	70652,	491468092,	82304.9190000607391081,	1.4,	58.150071371923,	1
BRIDGE.CHEESE/BRIDGE.BTC,	11935484,	185,	0.0005410000000262926,	82304.9190000607391081,	0.064570968443138,	1
BTS/COMPUMATRIX.USD,	111393378,	397788,	0,	28.00167320117068860787,	1113.8729579347,	70
