Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.RVN/BRIDGE.BTC,	1485625,	123866,	0.6100099,	82900.179893390368657,	90.62459576875,	2
BRIDGE.BTC/BRIDGE.ARRR,	3336492,	4879902834,	82900.179893390368657,	0.008084074373484236,	2765.9578701286,	4
BRIDGE.SMART/BRIDGE.BTC,	462668859,	1295927,	0.2598001599849385187,	82900.179893390368657,	1202.0144358825,	14
BRIDGE.FTON/BRIDGE.BTC,	31285264018,	96145881,	0,	82900.179893390368657,	79705.108309085,	119
BRIDGE.BTC/BRIDGE.PPI,	6664,	2221334179,	82900.179893390368657,	0.01125120000008324,	5.5244679880955,	4
BRIDGE.PPI/BRIDGE.BTDX,	167331397,	188292825,	0.01125120000008324,	0,	0.18826790139403,	2
BRIDGE.BTC/BRIDGE.BITG,	52913177,	72772860747,	82900.179893390368657,	3.42959877547086047,	43865.118920308,	88
BRIDGE.PAWS/BRIDGE.BTC,	7146738906,	11105148,	3.10000100099032321,	82900.179893390368657,	2215.4897762416,	40
BRIDGE.PPI/BRIDGE.SMART,	486026116,	624916,	0.01125120000008324,	0.2598001599849385187,	0.54683770363797,	2
BRIDGE.BLCR/BRIDGE.BTC,	1596200121,	48800175,	0,	82900.179893390368657,	40455.432863289,	68
BRIDGE.PPI/OPEN.EOS,	1003983215,	113605,	0.01125120000008324,	79.007034227060920519,	1.1296015948692,	3
BTS/BRIDGE.MONK,	5266608,	52666330,	0,	9.99999996761527328,	52.666329829442,	4
BRIDGE.COLX/BRIDGE.BTC,	4004350588,	3623959,	0.00099999349967660891,	82900.179893390368657,	400.43245584262,	7
BRIDGE.ESCO/BTS,	19429,	34,	0.17500000000875,	0,	0.000340007500017,	1
BRIDGE.QTUM/BTS,	6282283,	157058,	25.000151,	0,	1.5705802362473,	1
BRIDGE.BTC/BRIDGE.RVN,	2645864730,	30292046098,	82900.179893390368657,	0.6100099,	2193426.6209058,	1470
BRIDGE.BTC/BRIDGE.SCN,	395,	10000000,	82900.179893390368657,	0,	0.32745571057889,	1
BRIDGE.BTC/BRIDGE.PHON,	6346270,	548134292593,	82900.179893390368657,	0,	5261.0692465203,	28
BRIDGE.TFC/BRIDGE.BTC,	25976190477,	5455,	0,	82900.179893390368657,	4.5222048131844,	1
BRIDGE.ABET/BRIDGE.BTC,	147611480971,	300673201,	0,	82900.179893390368657,	249258.62452022,	343
BRIDGE.BTC/BRIDGE.XORN,	1323875,	97859510370,	82900.179893390368657,	0,	1097.4947565636,	4
BRIDGE.BCH/BRIDGE.BTC,	3372509288,	114504857,	8325.3899082568807339,	82900.179893390368657,	280774.54791818,	8
BRIDGE.BTC/BRIDGE.C2P,	19898,	3109064775,	82900.179893390368657,	0,	16.495477795187,	5
BTS/BRIDGE.USDT,	1072792,	4935,	0,	21.73912830824411716754,	10.728259820118,	2
BRIDGE.XDOGE/BTS,	163444,	653776,	0.04,	0,	6.53776,	2
BRIDGE.BTC/BRIDGE.KYD,	3749032,	62812513633,	82900.179893390368657,	0,	3107.9542722608,	7
BRIDGE.DASH/BRIDGE.BTC,	2956524849,	67781619,	1604.6235181591834798,	82900.179893390368657,	47441.093047274,	57
BRIDGE.SUBIX/BRIDGE.BTC,	3148404554,	688799,	17.9999289025304934,	82900.179893390368657,	566.71058128403,	7
BRIDGE.AGM/BRIDGE.BTC,	108481946018,	1885869,	0.0000111519980533,	82900.179893390368657,	0.12097904508109,	44
BRIDGE.ELLI/BRIDGE.BTC,	64029608129,	336720,	0.01016349964744337,	82900.179893390368657,	65.076489964503,	6
BTS/BRIDGE.RVN,	4426623804,	632016231,	0,	0.6100099,	38553.615787069,	25
BRIDGE.HTH/BRIDGE.BTC,	48588368551,	268457,	0.0000241000000003542,	82900.179893390368657,	11.709796820963,	23
BRIDGE.BTC/BRIDGE.BWK,	207504,	1449638347,	82900.179893390368657,	1.4,	172.02118928598,	10
BRIDGE.BTC/BRIDGE.CTT,	1162903391,	265853751603,	82900.179893390368657,	0,	964049.00312534,	1062
BRIDGE.BLOCK/BRIDGE.BTC,	9547386779,	6683064,	16.6666669027777811,	82900.179893390368657,	1591.2311523758,	7
BRIDGE.LCC/BRIDGE.BTC,	47990988951,	10595428,	0.1000001000001,	82900.179893390368657,	4799.1036942037,	68
BRIDGE.BTC/BTS,	20741460,	1700701612,	82900.179893390368657,	0,	17194.707652516,	316
BRIDGE.DOGEC/BRIDGE.BTC,	171242334498,	34909690,	0.02380970000017001,	82900.179893390368657,	407.72286117261,	59
BRIDGE.RESC/BRIDGE.BTC,	3916869366,	1971256,	0,	82900.179893390368657,	1634.1747701593,	13
BRIDGE.ALQO/BTS,	29823345,	362393,	0.121513200005831807,	0,	3.6239300858279,	1
BRIDGE.BTC/BRIDGE.GRV,	909154,	40285356862,	82900.179893390368657,	0,	753.69030150795,	36
BRIDGE.BTC/BRIDGE.SYNX,	92,	1053600,	82900.179893390368657,	0,	0.076268165501919,	2
BRIDGE.BTC/BRIDGE.HLX,	49798,	11317818615,	82900.179893390368657,	0,	41.282631583311,	2
BRIDGE.BTC/BRIDGE.PAC,	33049170,	15713602113,	82900.179893390368657,	0.00012020000000110584,	27397.821383272,	46
BRIDGE.BTC/BRIDGE.NDB,	3363570,	100650494016,	82900.179893390368657,	0.0018190000000003,	2788.4055808401,	10
BTS/BRIDGE.SUBIX,	5810431,	322802996,	0,	17.9999289025304934,	58.104309775238,	2
BRIDGE.VYI/BRIDGE.BTC,	29590000000,	2959,	0.00010020000000002,	82900.179893390368657,	0.29649180000006,	1
BRIDGE.BTC/BRIDGE.XLR,	147,	87015,	82900.179893390368657,	12.04819930324058609,	0.12186326444328,	2
BRIDGE.PRX/BRIDGE.BTC,	173897368278,	19984774,	0.000286000000000286,	82900.179893390368657,	49.734647327558,	108
BRIDGE.BTC/BRIDGE.EBCR,	1028034,	3690000000,	82900.179893390368657,	0,	852.24203536522,	1
BRIDGE.BTC/BRIDGE.FLN,	1136126826,	576766982767,	82900.179893390368657,	0,	941851.18257107,	350
BRIDGE.SEND/BRIDGE.BTC,	17841938024,	4833858,	0.016025641025641025,	82900.179893390368657,	285.92849397436,	10
SPARKDEX.BTC/BRIDGE.BTC,	7895,	77371,	82229.4843138244561573,	82900.179893390368657,	64.920177865764,	2
BRIDGE.LPC/BRIDGE.BTC,	3839439621,	843823,	0.50001000003333066,	82900.179893390368657,	191.97582050242,	7
BRIDGE.RVN/BTS,	6913336,	51264777,	0.6100099,	0,	421.72034020264,	33
BRIDGE.MNT/BRIDGE.BTC,	17566169145,	17566,	0.02,	82900.179893390368657,	351.3233829,	1
BRIDGE.RVN/BRIDGE.BTC,	4367020555,	379615288,	0.6100099,	82900.179893390368657,	266392.57720535,	971
