Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BRIDGE.BTC/BRIDGE.PCR,	1615333276,	2085259730145,	83820.0666580097822793,	0,	1353973.4286922,	530
BRIDGE.PRJ/BRIDGE.BTC,	922986000545,	6789840,	0,	83820.0666580097822793,	5691.2484139722,	27
BRIDGE.BTC/BRIDGE.NELLA,	8430966,	48490762926,	83820.0666580097822793,	0,	7066.8413211141,	30
BRIDGE.BTC/BRIDGE.EVOS,	381061579,	4946105768279,	83820.0666580097822793,	1,	319406.06952586,	749
BRIDGE.BTC/BRIDGE.CRCO,	53654,	259951572,	83820.0666580097822793,	1.6,	44.972818564689,	1
BRIDGE.ROCO/BRIDGE.BTC,	52707198662,	6824884,	0,	83820.0666580097822793,	5720.6223181318,	85
BRIDGE.MARC/BRIDGE.BTC,	219573909657,	70501962,	0.00200010000000775,	83820.0666580097822793,	43.916977670667,	271
BRIDGE.WORX/BRIDGE.BTC,	4990000000,	59880,	0.01,	83820.0666580097822793,	4.99,	1
BRIDGE.LRM/BRIDGE.BTC,	403519865012,	961045419,	0,	83820.0666580097822793,	805548.91081955,	487
BRIDGE.BTC/BRIDGE.BLOCK,	3831906,	4370305189,	83820.0666580097822793,	16.6666669027777811,	3211.9061634723,	7
BRIDGE.MONA/BRIDGE.BTC,	313538,	3764,	9.35,	83820.0666580097822793,	2.9315803,	2
BRIDGE.RVN/BRIDGE.BTC,	6885218902,	590575120,	0.6100099,	83820.0666580097822793,	420005.16938871,	1142
BRIDGE.BTC/BRIDGE.CATO,	38375627,	950354247910,	83820.0666580097822793,	0,	32166.476131829,	417
BRIDGE.GRV/BRIDGE.BTC,	10153960617,	149800,	0,	83820.0666580097822793,	125.5624598537,	24
BRIDGE.IFX/BRIDGE.BTC,	363267591662,	16073469,	1.92307692307692307,	83820.0666580097822793,	69859.152242692,	67
BRIDGE.LOKI/BRIDGE.BTC,	175546904,	654109,	0,	83820.0666580097822793,	548.27459981604,	6
BRIDGE.BTC/QUANTSTAMP,	1548762,	1548762,	83820.0666580097822793,	0,	1298.1733407739,	4
BRIDGE.ODIN/BRIDGE.BTC,	587629,	57,	0,	83820.0666580097822793,	0.047777437995066,	1
BRIDGE.BTC/BRIDGE.RVN,	2926459559,	33394466675,	83820.0666580097822793,	0.6100099,	2452960.3530735,	1581
BRIDGE.CDM/BRIDGE.BTC,	2641915214255,	7319941,	0.000470300000000505,	83820.0666580097822793,	1242.4927252655,	95
BRIDGE.XAP/BRIDGE.BTC,	136865223077,	7654820,	0.02,	83820.0666580097822793,	2737.30446154,	22
BRIDGE.COLX/BRIDGE.BTC,	4004057770,	3623694,	0.00099999349967660891,	83820.0666580097822793,	400.40317423296,	6
BRIDGE.PAWS/BRIDGE.BTC,	68787045561,	109498872,	3.10000100099032321,	83820.0666580097822793,	21323.991009427,	149
BRIDGE.RPI/BRIDGE.BTC,	18240002,	114,	0.5,	83820.0666580097822793,	91.20001,	1
BRIDGE.FGC/BRIDGE.BTC,	1092058824,	48269,	0,	83820.0666580097822793,	40.459107975155,	2
BRIDGE.BTC/BRIDGE.IC,	1020097,	39279010496,	83820.0666580097822793,	1.3999906374974695,	855.04598537636,	8
BRIDGE.BTC/BRIDGE.PAWS,	682000,	491155592,	83820.0666580097822793,	3.10000100099032321,	571.65285460763,	2
BRIDGE.BTC/BRIDGE.ECA,	14024259,	20069585375,	83820.0666580097822793,	0.00325181950328025698,	11755.143242092,	10
BRIDGE.DXC/BRIDGE.BTC,	10514800000,	289157,	0.0090000900009,	83820.0666580097822793,	9.4634146341463,	1
BRIDGE.BTC/BRIDGE.SEND,	843714,	3110154858,	83820.0666580097822793,	0.016025641025641025,	707.20163720296,	5
BRIDGE.BTC/BRIDGE.P2P,	28485498,	62948731336,	83820.0666580097822793,	0,	23876.563411466,	45
BRIDGE.POLIS/BRIDGE.BTC,	14693183519,	34112211,	0.11251000000327921,	83820.0666580097822793,	165.31300777709,	26
