Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
LAMBO/OPEN.BTC,	41857268,	1991,	0.31000000302131853,	84329.5259005796051261,	1.2975753206464,	4
XBTSX.BTC/OPEN.BTC,	12683,	12175,	82000,	84329.5259005796051261,	10.40006,	2
OPEN.DASH/BRIDGE.DASH,	1032537581,	1020957621,	1850,	1604.6235181591834798,	19101.9452485,	57
GDEX.BTC/OPEN.BTC,	4215328,	4182952,	84546.1227496782744073,	84329.5259005796051261,	3563.8963851816,	16
OPEN.EOS/BTS,	3278161068,	27118660675,	77.610212185261948246,	0,	254418.77606494,	272
OPEN.ETH/BTS,	3339302659,	973087207734,	2910.736666909430518843,	0,	9719830.6914595,	1107
BTS/OPEN.EOS,	453960330,	55008993,	0,	77.610212185261948246,	4269.2596188276,	10
OPEN.ETH/OPEN.BTC,	2009017,	7022804,	2903.574368709261153838,	84329.5259005796051261,	5833.3302675012,	22
OPEN.BTC/BRIDGE.BTC,	18660,	18607,	84329.5259005796051261,	84465.8725755442448495,	15.735889533048,	7
USD/OPEN.EOS,	24940841,	607806560,	19.57905040229315918491,	77.610212185261948246,	48831.798301458,	37
OPEN.BTC/USD,	3418,	1420,	84329.5259005796051261,	19.57905040229315918491,	2.8823831952818,	1
OPEN.XSD/OPEN.EOS,	949999575,	3325027,	0.63,	77.610212185261948246,	598.49973225,	2
BTS/OPEN.LTC,	34028392,	28357377,	0,	1154.3270246904864499,	327.33686620436,	3
CNY/OPEN.DOGE,	705697,	53939998,	3.30913396481732070365,	0.03641000003017478752,	233.52459115697,	1
OPEN.DASH/EDASH,	25894425,	25894425,	1850,	2635.1046812520092673,	479.0468625,	7
OPEN.ETH/BRIDGE.ETH,	98367,	97529,	2904.807677675225790985,	2891.184971098265895953,	285.73721682988,	5
OPEN.KRM/MADSTAR,	3984012,	44865,	0.015588923950670353,	1.944,	0.62106460086558,	1
OPEN.STEEM/BTS,	20000,	18000219,	10.113929445556971499079,	0,	202.27858891114,	1
OPEN.XRP/CNY,	9999,	21997,	6.51955152648281630544,	3.27332599619167409115,	6.5188995713302,	1
BTC/OPEN.BTC,	574074,	494037,	71942.4662717009037206,	84329.5259005796051261,	413.0029938246,	6
USD/OPEN.BTC,	657861,	1461913,	19.57905040229315918491,	84329.5259005796051261,	1288.0293676703,	1
BTS/OPEN.ETH,	320780973077,	1103243640,	0,	2903.185629558831530871,	3202921.0815502,	441
RUDEX.EOS/OPEN.EOS,	3177394,	317739465,	83,	77.610212185261948246,	26372.3702,	111
BRIDGE.PPI/OPEN.EOS,	1003983215,	113605,	0.01125120000008324,	77.610212185261948246,	1.1296015948692,	3
BTS/OPEN.BTC,	8456501207,	100586194,	0,	84329.5259005796051261,	84823.860521637,	180
BRIDGE.BTC/OPEN.BTC,	75150743,	73049282,	84515.5375410152480216,	84329.5259005796051261,	63514.054412517,	104
OPEN.DASH/OPEN.BTC,	7219,	148,	1850,	84329.5259005796051261,	0.1335515,	1
USD/OPEN.LTC,	210050,	41182237,	19.57905040229315918491,	1154.3270246904864499,	411.25795370017,	1
OPEN.LTC/USD,	58817762,	300000,	1154.3270246904864499,	19.57905040229315918491,	678.94932208413,	1
OPEN.BTC/OPEN.DASH,	17426627,	805366096,	84329.5259005796051261,	1850,	14695.791929562,	52
BTS/OPEN.DASH,	445101936,	243871711,	0,	1850,	4511.6266535,	12
OPEN.IQ/CNY,	1254560,	125456,	0.032133671521647231436,	3.25732899098081793811,	40.313618944198,	2
BTS/OPEN.IQ,	4039457,	1257079,	0,	0.032133671521647231436,	40.394563662761,	1
OPEN.BTC/BTS,	209297414,	17652968926,	84329.5259005796051261,	0,	176499.51694837,	152
ESCODEX.ETH/OPEN.ETH,	225235,	2105,	1000.0001107011192658,	2906.485827660436024829,	2.2523502493377,	1
OPEN.SCR/OPEN.BTC,	37143589404,	5582562,	0.82020999366344522,	84329.5259005796051261,	3046.5543229692,	5
GDEX.EOS/OPEN.EOS,	342889686,	339979328,	78.341636768445043628,	77.610212185261948246,	26862.539232258,	50
BTS/OPEN.KRM,	62231,	3992001,	0,	0.015588923950670353,	0.62231,	1
EUR/OPEN.USDT,	1,	113,	26.08206681265433536784,	19.412,	0.0026082066812654,	1
CNY/OPEN.BTC,	16287,	5429,	3.27436334140910077961,	84329.5259005796051261,	5.332955574153,	2
OPEN.BTC/PISOPH,	5734,	122884,	84329.5259005796051261,	0.56848523384744279493,	4.8354550151392,	4
