Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/bts ticker,	Volume in BTS,	Trade count
RUDEX.BTC/EVRAZ,	293626,	3604210,	83954.3155,	0.69099997487437185929,	246.51169843003,	4
RUDEX.GOLOS/RUBLE,	529213,	27952604,	0.17,	0.3333333314441499692,	89.96621,	3
BTS/RUDEX.GOLOS,	9001109,	529477,	0,	0.17,	90.01109,	1
RUDEX.STEEM/BTS,	779899,	750592921,	9.99882998855734530411,	0,	7798.0775092459,	13
RUDEX.SBD/BTS,	3000,	5610000,	19.8,	0,	59.4,	1
BTS/RUDEX.SBD,	25778515,	12905,	0,	19.8,	255.519,	2
RUDEX.STEEM/USD,	63623,	312082,	9.99882998855734530411,	19.57905040229315918491,	636.15556036198,	6
RUDEX.BTC/BTS,	7644953,	627250193,	83954.3155,	0,	6418.2679614467,	18
RUDEX.BTC/RUDEX.GBG,	1292758,	5556034,	83954.3155,	0.130039011703511053315,	1085.3261299715,	9
RUDEX.EOS/RUDEX.BTC,	109160,	1029656,	83,	83954.3155,	906.028,	2
RUDEX.BTC/GDEX.BTC,	633,	627,	83954.3155,	84546.1227496782744073,	0.531430817115,	1
RUDEX.GRC/BTS,	171302,	1576,	0.092000729749788375,	0,	0.015759909007598,	1
RUDEX.WLS/BTS,	7117026,	868386023,	1.32,	0,	9394.47432,	20
BTS/RUDEX.SMOKE,	24558358,	535257,	0,	0.44000011733336462223,	235.5131428035,	6
RUDEX.BTC/BRIDGE.BTC,	116838,	116257,	83954.3155,	84465.8725755442448495,	98.09054314389,	1
BTS/RUDEX.STEEM,	48246192,	47585,	0,	9.99882998855734530411,	475.7943250055,	5
BTS/RUDEX.WLS,	370508597,	2949490,	0,	1.32,	3893.3268,	11
EVRAZ/RUDEX.BTC,	24762598,	2024484,	0.69099997487437185929,	83954.3155,	1711.0954595824,	27
RUDEX.EOS/OPEN.EOS,	3177394,	317739465,	83,	77.586350215761980467,	26372.3702,	111
RUDEX.BTC/RUDEX.EOS,	32853852,	3379859,	83954.3155,	83,	27582.226561983,	122
GDEX.BTC/RUDEX.BTC,	1064038,	1058221,	84547.2915275159160276,	83954.3155,	899.61530982355,	3
BRIDGE.BTC/RUDEX.BTC,	4617091,	4587256,	84465.8725755442448495,	83954.3155,	3899.8662007569,	9
BTS/RUDEX.BTC,	2561422653,	30294933,	0,	83954.3155,	25433.903631334,	101
RUDEX.BTC/ZILLIQA,	503700,	5037,	83954.3155,	0,	422.8778871735,	27
