Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/bts ticker,	Volume in BTS,	Trade count
ESCODEX.BTC/ESCODEX.LPC,	23643036,	1034984395665,	78459.4537709847156101,	0.0001176470588235,	18550.196900477,	49
ESCODEX.SWIFT/ESCODEX.BTC,	342536250,	274029,	0,	78459.4537709847156101,	215.00165657409,	3
ESCODEX.CUX/ESCODEX.BTC,	644200000,	6442,	0,	78459.4537709847156101,	5.0543580119268,	1
ESCODEX.BTC/ESCODEX.ASAFE2,	4152494,	495425137591,	78459.4537709847156101,	1,	3258.0241102729,	16
ESCODEX.ETH/ESCODEX.BTC,	16534230622,	564295477,	1000.0001107011192658,	78459.4537709847156101,	165342.32452358,	160
ESCODEX.BTC/ESCODEX.REOSC,	40309,	364570129,	78459.4537709847156101,	0,	31.626221220546,	11
ESCODEX.LRM/ESCODEX.BTC,	44046,	59797,	0,	78459.4537709847156101,	46.916399571436,	1
BTS/ESCODEX.BTC,	451104065,	5669716,	0,	78459.4537709847156101,	4448.4282039661,	206
ESCODEX.BTC/BRIDGE.BTC,	4567640,	4465200,	78459.4537709847156101,	82954.7160524210914908,	3583.745394225,	123
ESCODEX.COC/ESCODEX.BTC,	98203592814,	492,	0,	78459.4537709847156101,	0.38602051255324,	2
ESCODEX.LPC/ESCODEX.BTC,	25977378717,	601675,	0.0001176470588235,	78459.4537709847156101,	0.030561622019992,	20
ESCODEX.BTC/ESCODEX.HLX,	22758,	25287418093,	78459.4537709847156101,	0,	17.855802489201,	1
ESCODEX.BTC/ESCODEX.EOS,	3426299,	34558144,	78459.4537709847156101,	80,	2688.2554799607,	1
ESCODEX.BTC/ESCODEX.OXG,	1733904,	6237354105113,	78459.4537709847156101,	0,	1360.4116073133,	9
ESCODEX.BTC/ESCODEX.LGS,	2143048,	101306676613,	79012.2398452611218568,	1.0019994799180458,	1693.2702257591,	27
ESCODEX.PDG/ESCODEX.BTC,	5000000,	12550,	0,	79012.2398452611218568,	9.9160361005803,	2
ESCODEX.ETH/ESCODEX.GTMR,	119718486,	79958726,	1000.0001107011192658,	0,	1197.1849925297,	2
ESCODEX.USDT/ESCODEX.BTC,	6942628221,	1908420,	25,	80666.7559487808671309,	1735.65705525,	3
ESCODEX.BTC/ESCODEX.GTMR,	61301456,	1252399999,	80666.7559487808671309,	0,	49449.895904569,	5
ESCODEX.BTC/ESCODEX.OTO,	1159065,	59900000,	80666.7559487808671309,	0,	934.98013483774,	2
ESCODEX.BTC/ESCODEX.XCZM,	125500,	100400093292,	80666.7559487808671309,	0,	101.23677871572,	2
ESCODEX.BTC/ESCODEX.BTC2,	29400,	840000,	80666.7559487808671309,	0,	23.716026248942,	1
ESCODEX.DLP/ESCODEX.BTC,	111000000,	7770,	0,	80666.7559487808671309,	6.2678069372203,	1
ESCODEX.BTC/BTS,	409978,	32453371,	80779.8680314070506125,	0,	331.1796873578,	7
ESCODEX.BTC/ESCODEX.BIH,	520,	4879924,	80779.8680314070506125,	0,	0.42005531376332,	3
ESCODEX.BTC/ESCODEX.BCASH,	420,	60000,	80779.8680314070506125,	0,	0.33927544573191,	2
ESCODEX.BCASH/ESCODEX.BTC,	720000000,	2916000,	0,	80779.8680314070506125,	2355.5409517958,	4
ESCODEX.BTC/SPARKDEX.BTC,	80682,	7910,	80779.8680314070506125,	82229.4843138244561573,	65.1748131251,	1
ESCODEX.XGCS/ESCODEX.BTC,	460109208679,	5423746,	0,	80779.8680314070506125,	4381.2948611587,	34
ESCODEX.BTC/ESCODEX.USDT,	1331513,	5087013021,	80779.8680314070506125,	25,	1075.594444221,	1
ESCODEX.BTC/ESCODEX.CUX,	98570,	4587315053,	79979.7664747280870121,	0,	78.836055814139,	5
ESCODEX.BTC/ESCODEX.RVN,	104323479,	11442083025050,	79979.7664747280870121,	0.1000100000019003,	83437.674882512,	57
ESCODEX.ASAFE2/ESCODEX.BTC,	3146500000,	25172,	1,	79979.7664747280870121,	31.465,	1
ESCODEX.HLX/ESCODEX.BTC,	391660016526,	214362,	0,	79979.7664747280870121,	171.44622701056,	23
ESCODEX.RVN/ESCODEX.BTC,	1698559145887,	15684467,	0.1000100000019003,	79979.7664747280870121,	1698.7290018339,	73
ESCODEX.BTC/ESCODEX.IOX,	50,	20000000,	79979.7664747280870121,	0,	0.039989883237364,	1
ESCODEX.BTC/ESCODEX.ETH,	8379136,	243083804,	79979.7664747280870121,	1000.0001107011192658,	6701.6134053999,	10
ESCODEX.ETH/OPEN.ETH,	225235,	2105,	1000.0001107011192658,	2920.46282577206736032,	2.2523502493377,	1
ESCODEX.EOS/ESCODEX.BTC,	160896924,	14893524,	80,	79979.7664747280870121,	12871.75392,	28
ESCODEX.REOSC/ESCODEX.BTC,	1496332724,	116425,	0,	79979.7664747280870121,	93.116443118202,	16
ESCODEX.LGS/ESCODEX.BTC,	81775521156,	1658428,	1.0019994799180458,	79979.7664747280870121,	819.39029668339,	107
ESCODEX.SINS/ESCODEX.BTC,	3939031167,	2546562,	0,	79979.7664747280870121,	2036.7343407342,	7
ESCODEX.BTC/ESCODEX.SINS,	21003,	27290632,	79979.7664747280870121,	0,	16.798150352687,	3
