Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BTS/FASTBTC,	500487,	5056,	0,	102005.2208537631447966,	5.1573839663663,	1
BTS/CNY,	209655898612,	6477454197,	0,	3.2,	2072785.34304,	1120
BTCPCX/BTS,	118872112,	4198136,	40,	0,	47.5488448,	3
FASTBTC/BTS,	193365,	19514656,	102005.2208537631447966,	0,	197.24239530388,	23
BTS/EVRAZ,	214883357,	31377243,	0,	0.68277481420446337326,	2142.3591259573,	59
TRUMPTWEET/BTS,	14666810,	2158609,	0.01471400035748206834,	0,	21.580744758312,	4
CRYPTOCEEDS/BTS,	230000,	2941775,	2.14632,	0,	49.36536,	1
BTS/BRIDGE.HTML,	14368363,	490816560,	0,	0.00489999999967333333,	240.50011438397,	7
EDASH/BTS,	51214781,	100832426,	3082.815688368616829,	0,	1578.8573034316,	16
CNY/BTS,	13735756653,	443824089554,	3.2,	0,	4395442.12896,	2823
BTS/RUDEX.BTC,	109774680,	1295492,	0,	83200.2129925452609158,	1077.8521033014,	4
BTS/BRIDGE.XP,	5905340,	23622974467,	0,	0.00015,	35.4344617005,	4
RUDEX.GOLOS/BTS,	439399,	7469783,	0.17,	0,	74.69783,	1
BTS/EUR,	22392228,	85853,	0,	26.08206681265433536784,	223.92236820668,	3
BTS/BRIDGE.LOL,	382,	2547325233,	0,	0.00014996121995,	0.003819999995501,	8
ZEPH/BTS,	4421,	4542,	0.10274993333333333333,	0,	0.045425745526667,	1
BTS/EINYX.CASH,	165701322,	33226022,	0,	4990.46622,	1658.1334041598,	66
BTS/PISOPH,	147402012,	25862026,	0,	0.57994957462901714143,	1499.8670977745,	73
JPY/BTS,	454,	100000,	0.2202643171806167400881,	0,	1,	1
MVCOIN/BTS,	76523,	14354583,	19.74999971571970106161,	0,	151.1329228246,	2
BTS/GALLEON,	146797101,	152242441,	0,	958.3443526800148223,	1459.0068357057,	59
BTS/EPESO,	147497682,	6410934078,	0,	0.00229999900696742399,	1474.5142013134,	67
BTS/CRYPTUAL,	147393250,	1473935,	0,	10,	1473.935,	62
CALLCNY05MARCH19/BTS,	2995420,	898625,	0.6,	0,	17.97252,	5
BRIDGE.LTC/BTS,	1069302,	1064388,	995.4245096019513782,	0,	10.644094189664,	39
BTS/BTCGOLD,	147547685,	456929467,	0,	3.228545392423372831,	1475.2175253453,	67
COVFEFE/BTS,	339831059,	60762950,	0.02082759480908254639,	0,	707.78636003934,	82
OPEN.EOS/BTS,	200076102,	1572967648,	80.619174414907432776,	0,	16129.970163393,	41
LAMBO/BTS,	99999839,	335467,	0.31000000302131853,	0,	3.0999950392131,	4
BRIDGE.BCH/BTS,	4904199,	11280552,	8325.3899082568807339,	0,	408.29368862683,	23
BTS/DEEX,	460365325,	139307419,	0,	0.339,	4722.5215041,	21
IQDINAR/BTS,	65168,	30553141,	55,	0,	358.424,	9
BTS/RUDEX.EOS,	18287390,	22033,	0,	83,	182.8739,	1
BTS/SILVER,	474178281,	237092,	0,	199.9989975501224938753,	4741.8162327154,	19
BTS/QUINT,	140008,	6364,	0,	22,	1.40008,	1
BTS/BRIDGE.ETH,	17673666,	59681,	0,	2890.899926584936492023,	172.53179851852,	15
BTS/RUDEX.SBD,	6716160,	3392,	0,	19.8,	67.1616,	1
BTS/ILICOIN,	34957,	109656,	0,	315.0000683685887355,	0.34541647497026,	3
USD/BTS,	65887682,	12882825907,	19.57904789329810449372,	0,	129001.80814564,	150
EBULLION/BTS,	15000,	5355004,	360,	0,	54,	1
EPESO/BTS,	2446199582,	30631411,	0.00229999900696742399,	0,	562.62566094441,	2
BTS/XBTSX.MDL,	9219,	3073132,	0,	0.03,	0.09219396,	4
BRIDGE.LPC/BTS,	5966415271,	29832673,	0.50001000003333066,	0,	298.32672998516,	1
COMPUCEEDS/BTS,	3201947321,	7522556,	0.00032989999996614939,	0,	105.63224210895,	7
BTS/CLOUDCOIN,	53130453,	264764054,	0,	0.02000099978413653476,	529.55457869011,	3
NOWCOIN/BTS,	1290128,	5827692,	0.46000008999158578672,	0,	59.345899610066,	6
BTS/BRIDGE.LCC,	76,	633,	0,	1.199999900679173547,	0.00075959993712992,	1
BRIDGE.USDT/BTS,	23254,	4650800,	20,	0,	46.508,	4
BTS/OPEN.XMR,	99895,	934,	0,	1069.531680440771349862,	0.99894258953168,	1
BRIDGE.XLR/BTS,	706,	85,	12.04819930324058609,	0,	0.00085060287080879,	1
BTS/BRIDGE.BCH,	29939,	3596,	0,	8325.3899082568807339,	0.29938102110092,	1
BTS/BRIDGE.USDT,	185119143,	688638,	0,	20,	1377.276,	35
RUDEX.STEEM/BTS,	311918,	293221385,	9.899990099990099990099,	0,	3087.9851120087,	10
BTS/XBTSX.SLB,	148500,	99,	0,	12,	1.188,	2
BTS/XOVBTC,	116792,	1406,	0,	83065.9660891540023962,	1.1679074832135,	2
BTS/XMRCORE,	146296510,	107913330,	0,	1355.6850961820944596,	1462.9649316038,	62
BTS/BEYONDBIT,	179700,	3,	0,	0.599,	1.797,	2
