Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
BTS/CNY,	10806831115,	338356771,	0,	3.19426668475353970593,	108080.17611661,	203
CNY/KKJTE,	2582380847,	7410083390,	3.19426668475353970593,	0,	824881.31069177,	218
CNY/BTSUCN,	24197138,	4290626231,	3.19426668475353970593,	16.6666666666666666666,	7729.2111779784,	6
RUBLE/CNY,	270668061,	2733471,	0.3333333314441499692,	3.19426668475353970593,	902.22686488658,	12
LAMBO/CNY,	43418938,	4983,	0.31000000302131853,	3.19426668475353970593,	1.3459870911182,	2
CNY/GDEX.BTO,	87712,	158913333,	3.19426668475353970593,	0.2,	28.01755194531,	3
CNY/BTS,	4894541063,	156320265075,	3.19426668475353970593,	0,	1563446.9454699,	844
CNY/BRIDGE.ZNY,	871985,	1658317081,	3.19426668475353970593,	0.2,	278.53526351048,	8
YOYOW/CNY,	147424166,	1769090,	0.3999889889889889889,	3.19426668475353970593,	589.68043110885,	1
BTS/CNY,	217976706991,	6739143097,	0,	3.19426668475353970593,	2152662.0278534,	1281
CNY/BRIDGE.PGN,	301402,	402338748,	3.19426668475353970593,	0.00121448000020325537,	96.275836731809,	17
CNY/YOYOW,	12160375,	1019947881,	3.19426668475353970593,	0.3999889889889889889,	3884.348073661,	3
GDEX.BTO/CNY,	58791664868,	28980747,	0.2,	3.19426668475353970593,	11758.3329736,	17
CNY/GDEX.BKBT,	39841461,	63732835265,	3.19426668475353970593,	0.0133000000239579445,	12726.425154421,	33
CNY/SEER,	1496637,	54621778965,	3.19426668475353970593,	0.219981999860000213,	478.06577082695,	19
MVCOIN/CNY,	1257,	8365,	19.74999971571970106161,	3.19426668475353970593,	2.482574964266,	11
LIFECOIN/CNY,	45934,	1628,	0.05,	3.19426668475353970593,	0.22967,	3
CNY/EVRAZ,	4940288,	23279635,	3.19426668475353970593,	0.68277481420446337326,	1578.0597371488,	34
CNY/BRIDGE.MONA,	148555,	1337000,	3.19426668475353970593,	9.35,	47.452428735356,	1
CNY/PARABOLA,	57328,	83698880,	3.19426668475353970593,	0.0222222222222222222,	18.312092050355,	1
CNY/MVCOIN,	16928,	2539,	3.19426668475353970593,	19.74999971571970106161,	5.4072546439508,	2
CNY/GDEX.BTM,	544000,	80000000,	3.19417382482289875488,	6.2499815,	173.76305607037,	1
CNY/GDEX.MTS,	89,	10012,	3.19417382482289875488,	35,	0.028428147040924,	1
COVFEFE/CNY,	2322136,	10658,	0.02040999911833169584,	3.19417382482289875488,	4.7394793712646,	1
GDEX.BKBT/CNY,	6476598791,	3934751,	0.0133000000239579445,	3.19417382482289875488,	861.38764075466,	6
KKJTE/CNY,	26668439660,	9294030532,	0,	3.19417382482289875488,	2968674.9052419,	386
CNY/GDEX.GXS,	44438,	946107,	3.19417382482289875488,	9.879036666666666666,	14.194269642748,	3
MESSAGES/CNY,	1,	1000,	0.25,	3.19417382482289875488,	0.25,	1
GDEX.EOS/CNY,	1608389463,	387960936,	80.69248895178347452,	3.19417382482289875488,	129784.94897329,	70
CNY/CALLCNY05MARCH19,	24455,	3116875,	3.19417382482289875488,	0.6,	7.8113520886044,	6
ESSS/CNY,	23882765,	509128,	0,	3.19487797132375263252,	162.66018317841,	1
CNY/GDEX.SEER,	12073734,	23746242675,	3.19487797132375263252,	0.01207,	3857.4106788223,	3
GDEX.BTC/CNY,	3686758,	9419710,	83526.1281883128727153,	3.19487797132375263252,	3079.4062130729,	11
GDEX.GXS/CNY,	89597,	3858,	9.879036666666666666,	3.19487797132375263252,	0.88513204822333,	2
ILICOIN/CNY,	1034181,	10240,	315.0000683685887355,	3.19487797132375263252,	3.257670857055,	2
CNY/JPY,	3105,	460,	3.19487797132375263252,	0.2202643171806167400881,	0.99200961009603,	1
OPEN.XRP/CNY,	9999,	21997,	6.51955152648281630544,	3.19487797132375263252,	6.5188995713302,	1
SOLCERT/CNY,	1,	1000,	0.299988863636363636363636,	3.19487797132375263252,	0.29998886363636,	1
BRIDGE.CRCO/CNY,	5000,	5,	1.30000011700001053,	3.19487797132375263252,	0.00065000005850001,	1
CNY/OPEN.USDT,	2276168,	33771142,	3.19487797132375263252,	19.412,	727.2079002232,	1
CNY/ABTSD,	1906559,	1884069,	3.19487797132375263252,	0,	609.1223350129,	15
BBTSD/CNY,	99817540,	97222285,	0,	3.19487797132375263252,	31061.333666826,	1
BEYONDBIT/CNY,	1,	2000,	0.599,	3.19487797132375263252,	0.599,	1
BRIDGE.JIYO/CNY,	6250000,	125,	0.04,	3.19487797132375263252,	0.025,	1
CNY/BRIDGE.BTC,	124,	37,	3.19487797132375263252,	83181.0247923562105789,	0.039616486844415,	1
GDEX.SEER/CNY,	65587912890,	32716758,	0.01207,	3.19487797132375263252,	7916.461085823,	13
CNY/OPEN.DOGE,	10000000,	764139242,	3.19487797132375263252,	0.03641000003017478752,	3194.8779713238,	2
CNY/USD,	91524992,	14893796,	3.19487797132375263252,	19.57904789329810449372,	29241.118076638,	98
XBTSX.STH/CNY,	100000000,	3000,	0.010189999913531435,	3.19487797132375263252,	1.0189999913531,	1
ABTSD/CNY,	188088785,	183933885,	0,	3.19487797132375263252,	58764.63173665,	17
SEER/CNY,	50000000000,	2000000,	0.219981999860000213,	3.21241255410907747536,	10999.099993,	1
ABCHH/CNY,	19243,	125733890,	0,	3.21241255410907747536,	40390.912671297,	22
CNY/BBTSD,	389794800,	400200000,	3.21241255410907747536,	0,	125218.17090464,	7
USD/CNY,	10702912,	64603343,	19.57904789329810449372,	3.21241255410907747536,	20955.282664575,	38
CNY/RUBLE,	580385,	57213206,	3.21241255410907747536,	0.3333333314441499692,	186.44360602166,	3
GDEX.ETH/CNY,	119,	1000,	2754.8209366391184573,	3.21241255410907747536,	0.32782369146006,	1
CNY/GDEX.EOS,	79428139,	317021027,	3.20426958928310650286,	80.69248895178347452,	25450.917033105,	35
EVRAZ/CNY,	21632622,	4550052,	0.68277481420446337326,	3.20426958928310650286,	1477.0209466805,	27
