Market,	Sum(Quote amounts),	Sum(Base amounts),	Quote/BTS ticker,	Base/BTS ticker,	Volume in BTS,	Trade count
USD/OPEN.AGRS,	234746,	65745846,	19.57904789329810449372,	7.202407987758127379,	459.61031767602,	6
BTS/USD,	2830840144,	14446490,	0,	19.57904789329810449372,	28284.851960005,	107
USD/RUDEX.STEEM,	26337,	5370,	19.57904789329810449372,	9.899990099990099990099,	51.565338436579,	2
LAMBO/USD,	27190476,	546,	0.31000000302131853,	19.57904789329810449372,	0.84290476421511,	3
SILVER/USD,	234269,	2520839,	199.9989975501224938753,	19.57904789329810449372,	4685.356515707,	11
USD/BTS,	65887682,	12882825907,	19.57904789329810449372,	0,	129001.80814564,	150
USD/CNY,	10702912,	64603343,	19.57904789329810449372,	3.19385502293587138345,	20955.282664575,	38
CNY/USD,	91524992,	14893796,	3.19385502293587138345,	19.57904789329810449372,	29231.755542337,	98
USD/PISOPH,	346222,	18003544,	19.57904789329810449372,	0.57994957462901714143,	677.86971197135,	12
OPEN.BTC/USD,	1001211,	416003,	83612.040133779264214,	19.57904789329810449372,	837.13294314381,	2
RUDEX.STEEM/USD,	5920,	29037,	9.899990099990099990099,	19.57904789329810449372,	58.607941391941,	5
USD/BRIDGE.ZNY,	187993,	998900105,	19.57904789329810449372,	0.2,	368.07239506048,	2
NETFLIXCOM/USD,	13,	413,	5769.2307692307692307692,	19.57904789329810449372,	0.75,	1
USD/PPY,	1036927,	13861614,	19.57904789329810449372,	14.7209080443089829527,	2030.2043394854,	17
USD/COMPUMATRIX.USD,	467155,	389291,	19.57904789329810449372,	29.99985168793257686331,	914.64501185937,	24
OPEN.LTC/USD,	58817762,	300000,	1200,	19.57904789329810449372,	705.813144,	1
USD/OPEN.LTC,	210050,	41182237,	19.57904789329810449372,	1200,	411.25790099873,	1
PPY/USD,	6242968,	382629,	14.7209080443089829527,	19.57904789329810449372,	919.02157851564,	8
USD/OPEN.BTC,	449278,	1055884,	19.57904789329810449372,	83612.040133779264214,	879.64354794052,	1
USD/EVRAZ,	353854,	10100963,	19.57904789329810449372,	0.68277481420446337326,	692.81244132351,	8
USD/OPEN.ETH,	93431,	69985,	19.57904789329810449372,	2932.99310603438329295,	182.92900237187,	17
OPEN.ETH/USD,	230443,	307622,	2932.99310603438329295,	19.57904789329810449372,	675.88773033388,	3
GDEX.EOS/USD,	60558357,	2452613,	80.69248895178347452,	19.57904789329810449372,	4886.6045531607,	27
USD/OPEN.DASH,	46580,	3881920,	19.57904789329810449372,	1812,	91.199205086983,	1
EVRAZ/USD,	5038465,	175210,	0.68277481420446337326,	19.57904789329810449372,	344.01370042507,	5
USD/IQDINAR,	900688,	450344,	19.57904789329810449372,	54.99998900010999890001,	1763.4613488919,	13
